City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Freetown,SL,77.23,light rain,8.48,-13.23,The Country Lodge Hotel
4,Ponta Delgada,PT,72.32,few clouds,37.73,-25.67,Vila Nova Hotel
6,Dakar,SN,82.53,broken clouds,14.69,-17.44,Redface Studios Meublés
7,La Libertad,EC,73.06,broken clouds,-2.23,-80.9,Playa Canela Hotel Boutique
8,Kahului,US,85.96,scattered clouds,20.89,-156.47,Maui Seaside Hotel
11,Jamestown,US,80.19,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
15,Cayenne,GF,75.24,light rain,4.93,-52.33,Hôtel Le Dronmi
18,Rikitea,PF,70.56,few clouds,-23.12,-134.97,People ThankYou
20,Puerto Ayora,EC,73.36,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
26,Georgetown,MY,80.89,scattered clouds,5.41,100.34,Cititel Penang
28,Bethel,US,81.7,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
30,Vanimo,PG,77.25,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
31,Wanning,CN,81.81,overcast clouds,18.8,110.4,Paradise Hotel
35,Faanui,PF,79.16,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
38,Alekseyevka,RU,76.17,moderate rain,50.63,38.69,Apartment on Ploshchad Pobedy
41,Pishva,IR,87.01,clear sky,35.31,51.73,شهرک خورشید هشتم
43,Hobyo,SO,76.66,broken clouds,5.35,48.53,Halane Hotel and Restaurent
53,Tarata,BO,74.62,scattered clouds,-17.62,-66.02,Alojamiento Tarata
56,Puyang,CN,77.31,overcast clouds,29.46,119.89,Xianhua Sandalwood Celebrity Hotel
58,Hambantota,LK,79.14,few clouds,6.12,81.12,Bungalow 63
60,Rethimnon,GR,87.85,clear sky,35.36,24.47,Poseidon
63,Pinawa,CA,74.64,overcast clouds,50.15,-95.88,Pinawa Motel
64,Palmer,US,79.77,broken clouds,42.16,-72.33,Wedgewood Motel
65,Hilo,US,84.25,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
68,Bubaque,GW,80.46,overcast clouds,11.28,-15.83,"Casa Dora, Bubaque"
70,Hasaki,JP,75.6,overcast clouds,35.73,140.83,Hotel Sunrise Choshi
