City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Chokurdakh,RU,70.63,147.92,54.0,52,55,8.21,broken clouds
Freetown,SL,8.48,-13.23,77.23,86,100,6.73,light rain
Leningradskiy,RU,69.38,178.42,34.93,93,100,14.92,overcast clouds
Bredasdorp,ZA,-34.53,20.04,40.32,93,0,3.44,clear sky
Ponta Delgada,PT,37.73,-25.67,72.32,88,20,13.8,few clouds
Ushuaia,AR,-54.80,-68.30,38.86,65,40,31.07,scattered clouds
Dakar,SN,14.69,-17.44,82.53,78,75,6.91,broken clouds
La Libertad,EC,-2.23,-80.90,73.06,78,75,10.36,broken clouds
Kahului,US,20.89,-156.47,85.96,76,40,20.71,scattered clouds
Tuktoyaktuk,CA,69.45,-133.04,51.8,66,75,11.5,broken clouds
Esperance,AU,-33.87,121.90,40.84,80,76,17.94,broken clouds
Jamestown,US,42.10,-79.24,80.19,82,90,5.99,overcast clouds
Nikolskoye,RU,59.70,30.79,60.03,88,30,1.74,scattered clouds
Davidson,US,36.15,-86.78,96.03,50,40,5.99,scattered clouds
Namyslow,PL,51.08,17.72,60.51,92,21,3.15,few clouds
Cayenne,GF,4.93,-52.33,75.24,91,75,1.14,light rain
New Norfolk,AU,-42.78,147.06,55.92,72,100,3.0,overcast clouds
Hobart,AU,-42.88,147.33,56.26,67,75,7.0,broken clouds
Rikitea,PF,-23.12,-134.97,70.56,66,23,14.0,few clouds
Barrow,US,71.29,-156.79,37.42,83,90,9.22,light rain
Puerto Ayora,EC,-0.74,-90.35,73.36,93,85,7.0,overcast clouds
Flinders,AU,-34.58,150.86,58.05,66,0,9.48,clear sky
Bluff,NZ,-46.60,168.33,43.81,85,17,11.23,few clouds
Mahebourg,MU,-20.41,57.70,68.29,100,75,3.44,light rain
Khatanga,RU,71.97,102.50,50.63,85,91,14.88,overcast clouds
Port Elizabeth,ZA,-33.92,25.57,53.89,87,40,8.05,scattered clouds
Georgetown,MY,5.41,100.34,80.89,85,40,3.44,scattered clouds
Haines Junction,CA,60.75,-137.51,64.35,42,91,5.75,overcast clouds
