City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kyshtovka,RU,2021-08-05 20:28:57,56.555,76.6271,56.79,95,8,6.06
1,Linxia,CN,2021-08-05 20:28:57,35.6003,103.2064,60.6,63,96,3.29
2,Mar Del Plata,AR,2021-08-05 20:26:30,-38.0023,-57.5575,57.09,28,90,4.0
3,Bonthe,SL,2021-08-05 20:28:58,7.5264,-12.505,77.11,82,100,13.24
4,Cockburn Town,TC,2021-08-05 20:28:58,21.4612,-71.1419,85.96,66,40,14.97
5,Rikitea,PF,2021-08-05 20:25:11,-23.1203,-134.9692,73.92,75,29,18.16
6,Bethel,US,2021-08-05 20:28:58,41.3712,-73.414,81.45,71,90,0.0
7,Barrow,US,2021-08-05 20:28:59,71.2906,-156.7887,41.02,90,90,17.27
8,Leningradskiy,RU,2021-08-05 20:28:59,69.3833,178.4167,40.37,95,97,3.13
9,Male,MV,2021-08-05 20:28:59,4.1748,73.5089,81.41,79,100,8.63
10,Rawson,AR,2021-08-05 20:24:57,-43.3002,-65.1023,72.72,20,94,11.32
11,New Norfolk,AU,2021-08-05 20:28:21,-42.7826,147.0587,53.71,63,100,7.0
12,Pevek,RU,2021-08-05 20:28:38,69.7008,170.3133,37.71,97,100,4.43
13,Tuktoyaktuk,CA,2021-08-05 20:27:54,69.4541,-133.0374,57.2,82,75,12.66
14,Srednekolymsk,RU,2021-08-05 20:29:00,67.45,153.6833,42.44,80,100,9.62
15,Busselton,AU,2021-08-05 20:29:00,-33.65,115.3333,50.59,82,0,6.11
16,Cape Town,ZA,2021-08-05 20:29:01,-33.9258,18.4232,58.08,82,0,1.99
17,Vardo,NO,2021-08-05 20:29:01,70.3705,31.1107,53.35,87,40,5.75
18,Deming,US,2021-08-05 20:29:01,32.2687,-107.7586,91.29,24,1,5.75
19,Aquin,HT,2021-08-05 20:29:02,18.2833,-73.4,85.68,64,25,7.85
20,Dikson,RU,2021-08-05 20:28:05,73.5069,80.5464,50.83,87,0,2.46
21,Ushuaia,AR,2021-08-05 20:29:02,-54.8,-68.3,49.62,75,75,36.82
22,Pangnirtung,CA,2021-08-05 20:29:03,66.1451,-65.7125,48.2,66,75,6.91
23,Gorontalo,ID,2021-08-05 20:29:03,0.5412,123.0595,74.53,93,59,2.46
24,Mataura,NZ,2021-08-05 20:25:26,-46.1927,168.8643,38.48,98,19,2.55
25,Tabou,CI,2021-08-05 20:29:03,4.423,-7.3528,75.83,85,48,8.75
26,Hermanus,ZA,2021-08-05 20:27:56,-34.4187,19.2345,55.9,89,1,10.09
27,Sisimiut,GL,2021-08-05 20:29:04,66.9395,-53.6735,47.25,84,100,14.56
28,Atuona,PF,2021-08-05 20:27:55,-9.8,-139.0333,77.88,75,36,15.9
29,Luderitz,NA,2021-08-05 20:29:04,-26.6481,15.1594,57.33,73,22,3.67
30,Hilo,US,2021-08-05 20:27:48,19.7297,-155.09,80.8,81,90,5.75
31,Hithadhoo,MV,2021-08-05 20:27:41,-0.6,73.0833,80.65,78,99,6.98
32,Albany,US,2021-08-05 20:25:13,42.6001,-73.9662,81.77,59,67,2.62
33,Zhaodong,CN,2021-08-05 20:29:05,46.0833,125.9833,66.22,94,52,8.77
34,Kayseri,TR,2021-08-05 20:29:05,38.737,35.4968,77.02,44,0,9.22
35,Punta Arenas,CL,2021-08-05 20:26:54,-53.15,-70.9167,44.71,61,0,26.46
36,Adrar,MR,2021-08-05 20:29:05,20.5022,-10.0711,98.62,13,5,13.8
37,Aragarcas,BR,2021-08-05 20:29:06,-15.8975,-52.2508,90.25,35,0,4.61
38,Labuhan,ID,2021-08-05 20:29:06,-6.8844,112.2051,76.05,85,79,7.07
39,Bereda,ES,2021-08-05 20:28:50,43.2686,-7.5406,63.57,89,51,4.21
40,Hobart,AU,2021-08-05 20:29:06,-42.8794,147.3294,54.05,59,40,4.0
41,Severo-Kurilsk,RU,2021-08-05 20:29:07,50.6789,156.125,53.6,83,26,19.28
42,Sitka,US,2021-08-05 20:29:07,57.0531,-135.33,67.89,56,90,11.5
43,Camapua,BR,2021-08-05 20:29:07,-19.5314,-54.0439,85.03,15,97,5.26
44,Vanderhoof,CA,2021-08-05 20:29:07,54.0166,-124.0198,73.0,54,100,2.39
45,Christchurch,NZ,2021-08-05 20:29:08,-43.5333,172.6333,47.91,89,90,1.99
46,Lumphat,KH,2021-08-05 20:29:08,13.4878,106.9816,74.34,99,100,2.1
47,Todos Santos,MX,2021-08-05 20:29:08,23.45,-110.2167,93.79,71,55,8.63
48,Bukama,CD,2021-08-05 20:29:09,-9.2,25.85,75.24,27,0,4.38
49,Souillac,MU,2021-08-05 20:28:43,-20.5167,57.5167,70.18,64,75,9.22
50,Ancud,CL,2021-08-05 20:29:09,-41.8697,-73.8203,52.43,87,100,8.84
51,Talakan,RU,2021-08-05 20:29:09,50.3167,130.3667,64.74,99,100,6.06
52,Iroquois Falls,CA,2021-08-05 20:29:10,48.7669,-80.6831,80.74,45,100,7.9
53,Huarmey,PE,2021-08-05 20:29:10,-10.0681,-78.1522,69.55,72,2,11.48
54,Cidreira,BR,2021-08-05 20:29:10,-30.1811,-50.2056,61.84,88,96,14.54
55,Hermiston,US,2021-08-05 20:29:11,45.8404,-119.2895,95.99,31,1,6.91
56,Kapaa,US,2021-08-05 20:29:11,22.0752,-159.319,82.72,75,90,5.99
57,Saint George,US,2021-08-05 20:29:11,37.1041,-113.5841,108.43,11,1,3.0
58,Bredasdorp,ZA,2021-08-05 20:25:26,-34.5322,20.0403,51.28,97,40,2.59
59,Suluq,LY,2021-08-05 20:29:12,31.6682,20.2521,87.67,46,4,12.33
60,Butaritari,KI,2021-08-05 20:25:13,3.0707,172.7902,83.98,61,12,10.76
61,Norman Wells,CA,2021-08-05 20:29:12,65.282,-126.8329,62.64,67,75,12.66
62,Manta,EC,2021-08-05 20:29:12,-0.95,-80.7333,80.38,69,20,14.97
63,Lagoa,PT,2021-08-05 20:29:13,39.05,-27.9833,73.09,90,0,19.35
64,East London,ZA,2021-08-05 20:26:36,-33.0153,27.9116,66.02,85,86,3.96
65,Khatanga,RU,2021-08-05 20:29:13,71.9667,102.5,57.31,45,57,9.42
66,Hamadan,IR,2021-08-05 20:29:13,34.7992,48.5146,72.59,25,55,5.99
67,Vaini,TO,2021-08-05 20:25:45,-21.2,-175.2,69.96,88,75,1.14
68,Tuy Hoa,VN,2021-08-05 20:29:01,13.0833,109.3,83.98,68,100,16.6
69,Le Port,RE,2021-08-05 20:29:14,-20.9373,55.2919,66.2,67,46,9.17
70,Saskylakh,RU,2021-08-05 20:29:14,71.9167,114.0833,48.2,69,12,6.24
71,Sao Filipe,CV,2021-08-05 20:25:29,14.8961,-24.4956,78.8,89,100,6.71
72,Dzheyrakh,RU,2021-08-05 20:29:15,42.8228,44.6756,61.2,73,55,10.16
73,Bandarbeyla,SO,2021-08-05 20:29:15,9.4942,50.8122,76.64,83,78,32.99
74,Khasan,RU,2021-08-05 20:29:15,42.4308,130.6434,70.43,90,92,4.72
75,Haimen,CN,2021-08-05 20:29:16,23.1935,116.6142,78.69,92,100,15.77
76,Tasiilaq,GL,2021-08-05 20:27:39,65.6145,-37.6368,51.96,76,24,2.19
77,Hasaki,JP,2021-08-05 20:29:16,35.7333,140.8333,77.4,84,44,4.09
78,Paamiut,GL,2021-08-05 20:28:32,61.994,-49.6678,44.82,95,100,32.01
79,Jamestown,US,2021-08-05 20:29:17,42.097,-79.2353,81.3,48,75,3.0
80,Mount Isa,AU,2021-08-05 20:28:27,-20.7333,139.5,46.17,46,9,3.44
81,Ivangorod,RU,2021-08-05 20:29:17,59.3716,28.2162,57.47,74,99,5.28
82,Tikapur,NP,2021-08-05 20:29:17,28.5,81.1333,79.48,87,60,5.35
83,Muroto,JP,2021-08-05 20:29:18,33.2833,134.15,80.2,76,12,13.24
84,Medicine Hat,CA,2021-08-05 20:29:18,50.0501,-110.6683,85.71,34,20,0.0
85,Victoria,HK,2021-08-05 20:28:52,22.2855,114.1577,84.16,95,100,1.99
86,El Alto,PE,2021-08-05 20:29:18,-4.2714,-81.2147,73.06,70,11,19.6
87,Tuatapere,NZ,2021-08-05 20:29:19,-46.1333,167.6833,38.82,91,29,3.42
88,Qaanaaq,GL,2021-08-05 20:29:19,77.484,-69.3632,46.98,60,33,2.1
89,Comodoro Rivadavia,AR,2021-08-05 20:28:52,-45.8667,-67.5,67.86,30,0,21.85
90,Hojai,IN,2021-08-05 20:29:19,26.0,92.8667,77.72,96,100,3.53
91,Ewa Beach,US,2021-08-05 20:29:20,21.3156,-158.0072,82.35,64,75,8.99
92,Georgetown,MY,2021-08-05 20:27:24,5.4112,100.3354,81.9,89,20,2.3
93,Plettenberg Bay,ZA,2021-08-05 20:29:20,-34.0527,23.3716,57.51,94,82,2.53
94,Kintampo,GH,2021-08-05 20:29:20,8.0563,-1.7306,72.19,92,100,4.65
95,Vestmannaeyjar,IS,2021-08-05 20:27:35,63.4427,-20.2734,56.41,79,24,6.11
96,Hami,CN,2021-08-05 20:29:21,42.8,93.45,85.08,21,93,15.05
97,Lethem,GY,2021-08-05 20:29:21,3.3803,-59.7968,86.65,61,65,2.95
98,Provideniya,RU,2021-08-05 20:25:36,64.3833,-173.3,50.11,71,0,8.95
99,Talnakh,RU,2021-08-05 20:27:29,69.4865,88.3972,65.43,69,82,3.02
100,Ballina,AU,2021-08-05 20:27:42,-28.8667,153.5667,46.78,87,46,5.75
101,Codrington,AU,2021-08-05 20:29:22,-38.2667,141.9667,51.37,82,100,11.36
102,Florianopolis,BR,2021-08-05 20:29:22,-27.6146,-48.5012,66.56,85,40,8.05
103,Ouahigouya,BF,2021-08-05 20:29:22,13.5828,-2.4216,88.32,49,100,8.3
104,Axim,GH,2021-08-05 20:29:22,4.8699,-2.2405,76.82,83,98,8.32
